amet,ettevotte_link,kuulutuse_link
"Agiilne tooteomanik, mis on seotud väljaandmise, kasutuselevõtu ja kvaliteedi tagamise meeskonnaga",https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/swedbank-as/agile-product-owner-to-release-deployment-and-quality-assurance-team/
Senior QA,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/mercans-ou/senior-qa/
Front-End Developer,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/mercans-ou/senior-front-end-developer/
Tootmistöötajad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/staff-power-ou/tootmistootajad/
Cooking assistant,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/rener-invest-ou/cookers-assistant/
Meremees,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/blrt-grupp/meremees/
OPERAATOR,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/norma-as/operaator/
Driver,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/rener-invest-ou/autojuht/
Software Engineer for Back-End Development,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/guardtime-ou/software-engineer/
KOKK,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/heal-as/cook-4/
System Analyst,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/guardtime-ou/system-analyst/
Tööpakkumine juhile,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/as-hert-transport-1/rahvusvaheliste-vedude-autojuht/
Integration Engineer,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/mercans-ou/integration-engineer/
Back-End Developer,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/mercans-ou/senior-back-end-developer/
Logistika,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/as-hert-transport-1/logistics/
AUTOLUKUSTUSSEPP,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/as-hert-transport-1/autoremodiluksepp/
Officeassistant,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/rener-invest-ou/office-assistant/
LAOOPERAATOR,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/norma-as/laooperaator-1/
Tisler,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/ecohouse-ou/tisler/
Digital Marketing Specialist,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/vg-estonia-ou/digital-marketing-specialist/
Golang Developer,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/guardtime-ou/golang-developer/
TÖÖRIISTALUKKSEPP,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/tooandjad,https://www.onlineexpo.com/ee/tookohad-ukrainlaste-jaoks-eestis/tooandjad/norma-as/locksmith/
